City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Avarua,CK,2021-04-11 17:43:39,-21.2078,-159.775,78.8,94,20,3.44
124,Palmaner,IN,2021-04-11 17:44:39,13.2,78.75,72.99,84,17,9.44
125,Bengkulu,ID,2021-04-11 17:44:39,-3.8004,102.2655,75.92,89,85,3.85
126,Makokou,GA,2021-04-11 17:44:40,0.5738,12.8642,71.1,96,95,4.03
127,Mantua,IT,2021-04-11 17:44:40,45.1667,10.7833,51.01,88,100,5.01
128,Nome,US,2021-04-11 17:43:10,64.5011,-165.4064,21.2,86,90,25.32
129,Yerbogachen,RU,2021-04-11 17:41:18,61.2767,108.0108,4.66,94,61,3.09
130,Pevek,RU,2021-04-11 17:41:05,69.7008,170.3133,-26.39,100,81,3.6
131,Bathsheba,BB,2021-04-11 17:44:40,13.2167,-59.5167,78.8,69,20,14.97
132,Marsa Matruh,EG,2021-04-11 17:42:16,31.3525,27.2453,59.0,51,20,8.05
133,Palmer,US,2021-04-11 17:44:41,42.1584,-72.3287,60.01,71,75,11.5
134,Araguaina,BR,2021-04-11 17:44:41,-7.1911,-48.2072,84.81,59,99,3.11
135,Severo-Kurilsk,RU,2021-04-11 17:41:09,50.6789,156.125,27.75,72,47,8.59
136,Flinders,AU,2021-04-11 17:44:41,-34.5833,150.8552,51.8,50,2,14.97
137,Nokaneng,BW,2021-04-11 17:44:41,-19.6667,22.2667,72.64,35,0,6.91
138,Saint-Augustin,CA,2021-04-11 17:44:09,51.226,-58.6502,42.8,91,100,23.06
139,Potsdam,DE,2021-04-11 17:43:39,52.3989,13.0657,62.6,55,20,6.91
140,Axim,GH,2021-04-11 17:44:42,4.8699,-2.2405,82.38,81,94,11.34
141,Urengoy,RU,2021-04-11 17:44:42,65.9667,78.3667,32.18,98,100,17.83
142,Shahapur,IN,2021-04-11 17:44:42,19.45,73.3333,84.2,84,11,1.88
143,Nanortalik,GL,2021-04-11 17:44:43,60.1432,-45.2371,38.7,65,1,3.09
